,Country name,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP 2020
144,Cambodia,0.46038,0.55604,0.6017650961875921,0.5489999999999999,0.574,0.544634938
145,Tanzania,0.2852,0.47155,0.511135876178741,0.455,0.47600000000000003,0.457163125
146,Madagascar,0.20824,0.27954,0.305808693170547,0.262,0.27399999999999997,0.244553208
147,Central African Republic,0.0785,0.35084,0.371910840272903,0.31,0.31199999999999994,0.27342034849999997
148,Chad,0.34193,0.42213999999999996,0.43801298737525896,0.358,0.35,0.30228748899999996
149,Guinea,0.17417,0.22415,0.24454993009567302,0.344,0.38,0.390007734
150,Ivory Coast,0.46534,0.55507,0.6030489206314089,0.541,0.569,0.537094414
151,Burkina Faso,0.25811999999999996,0.31995,0.35022771358490007,0.314,0.331,0.302467644
152,Afghanistan,0.31982,0.38227,0.401477217674255,0.332,0.35,0.30070585
153,Rwanda,0.22208000000000003,0.32846,0.368745893239975,0.332,0.359,0.343242675
154,Benin,0.28665,0.39499,0.43108540773391707,0.37799999999999995,0.39299999999999996,0.366244704
155,Syria,0.6632,0.7471899999999999,0.777153134346008,0.6890000000000001,0.619,0.183122352
156,Burundi,0.0153,0.06831,0.09162256866693501,0.091,0.046,0.0
157,Togo,0.20868,0.28123000000000004,0.30544471740722695,0.259,0.275,0.268116266
