,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
2,Iceland,0.56624,0.47678000000000004,0.8673299999999999,1.42666,0.14975,1.18326,7.501,2016,ISL
3,Norway,0.59609,0.37895,0.79579,1.57744,0.35775999999999997,1.1269,7.497999999999999,2016,NOR
4,Finland,0.57104,0.25492,0.81091,1.40598,0.41003999999999996,1.1346399999999999,7.412999999999999,2016,FIN
5,Canada,0.5737,0.44833999999999996,0.8276,1.44015,0.31329,1.0961,7.404,2016,CAN
6,Netherlands,0.55211,0.47416,0.8123100000000001,1.46468,0.29927,1.02912,7.3389999999999995,2016,NLD
7,New Zealand,0.5814699999999999,0.49401000000000006,0.83096,1.36066,0.41903999999999997,1.17278,7.334,2016,NZL
8,Australia,0.5683699999999999,0.47407,0.8512,1.4444299999999999,0.32331,1.10476,7.313,2016,AUS
9,Sweden,0.58218,0.38254,0.83121,1.45181,0.40867,1.08764,7.291,2016,SWE
10,Israel,0.36432,0.32288,0.8491700000000001,1.33766,0.08728,0.9953700000000001,7.267,2016,ISR
11,Austria,0.54355,0.32865,0.80565,1.45038,0.21348000000000003,1.0838299999999998,7.119,2016,AUT
12,United States,0.48163,0.41076999999999997,0.779,1.50796,0.14868,1.04782,7.104,2016,USA
13,Costa Rica,0.55225,0.22553,0.76146,1.06879,0.10547000000000001,1.02152,7.087000000000001,2016,CRI
14,Puerto Rico,0.46823000000000004,0.22202,0.77758,1.35943,0.12275,1.08113,7.039,2016,PRI
15,Germany,0.53466,0.30451999999999996,0.81487,1.44787,0.28551,1.09774,6.994,2016,DEU
16,Brazil,0.40425,0.15775999999999998,0.61415,1.08754,0.14165999999999998,1.03938,6.952000000000001,2016,BRA
17,Belgium,0.51354,0.2424,0.8195899999999999,1.42539,0.26248,1.05249,6.928999999999999,2016,BEL
18,Ireland,0.54008,0.44963000000000003,0.81455,1.4834100000000001,0.29754,1.16157,6.907,2016,IRL
19,Luxembourg,0.5487,0.27571,0.8454200000000001,1.6975200000000001,0.35329,1.03999,6.871,2016,LUX
20,Mexico,0.37709000000000004,0.11735,0.71143,1.1150799999999998,0.18355,0.7146,6.778,2016,MEX
21,Singapore,0.4877,0.32706,0.94719,1.64555,0.46986999999999995,0.8675799999999999,6.739,2016,SGP
22,United Kingdom,0.50036,0.50156,0.80991,1.40283,0.27399,1.0867200000000001,6.725,2016,GBR
